poverty_band,group,estimate,standard_error,ci_low,ci_high,unweighted_households,weighted_households
≤50%,Public housing,0.8899138525618341,0.01283678349999156,0.8647537569018506,0.9150739482218175,796,650624.908856047
≤50%,Voucher,0.867586745544516,0.02970353227059481,0.8093678222941502,0.9258056687948818,440,406851.569743959
≤50%,No assistance,0.9820688980657851,0.008233121324279287,0.9659319802701978,0.9982058158613725,593,1709846.1258762903
51–100%,Public housing,0.2694335613193783,0.023908574477713985,0.22257275534305887,0.3162943672956977,1190,946256.780715466
51–100%,Voucher,0.3591026911664369,0.02745279480202816,0.3052952133544617,0.4129101689784121,702,623483.444950596
51–100%,No assistance,0.8146474294331747,0.01612634808075517,0.7830397871948945,0.8462550716714549,873,2585257.75718346
101–150%,Public housing,0.22975230822751724,0.027847658264786457,0.1751708980285358,0.2843337184264987,710,620710.291446159
101–150%,Voucher,0.1692619059464413,0.02716229471048975,0.1160238083138814,0.2225000035790012,310,273418.25033244
101–150%,No assistance,0.5343341857619471,0.01731445164560238,0.5003978605365664,0.5682705109873278,1064,3060648.34449974
151–200%,Public housing,0.1353948898785878,0.02731720625540663,0.0818531656179908,0.1889366141391848,371,372691.88509388606
151–200%,Voucher,0.18478330116176406,0.03649793206908818,0.11324735430635122,0.25631924801717687,144,145072.82411143
151–200%,No assistance,0.36038934491946767,0.015865628132492586,0.3292927137797822,0.39148597605915314,1177,3454025.81972389
