country,country_code,gdp_million_eur,gdp_billion_eur
Malta,MT,20929.2,20.9
Cyprus,CY,32439.2,32.4
Estonia,EE,38353.4,38.4
Latvia,LV,39564.2,39.6
Slovenia,SI,64050.0,64.0
Lithuania,LT,74317.0,74.3
Croatia,HR,79186.3,79.2
Luxembourg,LU,82115.5,82.1
Bulgaria,BG,94525.1,94.5
Slovakia,SK,123538.7,123.5
Hungary,HU,196983.7,197.0
Greece,EL,224686.2,224.7
Portugal,PT,270352.6,270.4
Finland,FI,273005.0,273.0
Czechia,CZ,319099.1,319.1
Romania,RO,321577.9,321.6
Denmark,DK,373287.5,373.3
Austria,AT,477837.3,477.8
Ireland,IE,520792.2,520.8
Sweden,SE,535176.8,535.2
Belgium,BE,601866.5,601.9
Poland,PL,751931.7,751.9
Netherlands,NL,1050133.0,1050.1
Spain,ES,1497761.0,1497.8
Italy,IT,2142744.4,2142.7
France,FR,2833826.4,2833.8
Germany,DE,4219310.0,4219.3
