decile,estimate,standard_error,ci_low,ci_high,unweighted_families,weighted_households,survey,variable
1,3186.9804402423188,474.25530555759616,2257.4400413494304,4116.520839135207,435,13122615.252329212,2022 Survey of Consumer Finances,CCBAL
2,1746.447715762282,673.3318125459514,426.71736317221735,3066.1780683523466,426,13140004.183995584,2022 Survey of Consumer Finances,CCBAL
3,2057.83552016707,712.8582120815151,660.6334244873005,3455.03761584684,386,13120873.20410547,2022 Survey of Consumer Finances,CCBAL
4,2976.36145186709,339.2436805949529,2311.4438379009825,3641.279065833198,321,13139830.71144175,2022 Survey of Consumer Finances,CCBAL
5,4340.617197954518,429.9726889808837,3497.870727551986,5183.363668357049,289,13132715.16882379,2022 Survey of Consumer Finances,CCBAL
6,3293.6369741215567,370.18123249779666,2568.0817584258753,4019.192189817238,313,13120322.006523278,2022 Survey of Consumer Finances,CCBAL
7,3002.6269431722862,371.67533262191637,2274.1432912333303,3731.110595111242,323,13138438.19730169,2022 Survey of Consumer Finances,CCBAL
8,2571.1323825120066,445.1689653834859,1698.6012103603744,3443.663554663639,391,13132416.952839764,2022 Survey of Consumer Finances,CCBAL
9,2452.982168567082,255.98928581623295,1951.2431683672658,2954.7211687668987,445,13118091.445249135,2022 Survey of Consumer Finances,CCBAL
10,2052.038191477442,363.07574625120264,1340.409728825085,2763.666654129799,1266,13141082.26086055,2022 Survey of Consumer Finances,CCBAL
