country,gdp_usd,gdp_trillions
Australia,1734451264655.6,1.734
Mexico,1794410347718.25,1.794
"Korea, Rep.",1844800934391.54,1.845
Russian Federation,2046284838151.09,2.046
Brazil,2191131765684.63,2.191
Canada,2196593836347.42,2.197
Italy,2316882296366.32,2.317
IDA total,2927829143897.98,2.928
France,3056250648138.29,3.056
United Kingdom,3420796653789.08,3.421
India,3500906030644.76,3.501
Japan,4384854269961.93,4.385
Germany,4562207532490.28,4.562
China,18270356654533.2,18.27
United States,27811517000000.0,27.812
